X,Y,Z,RX,RY,RZ
738.241,180.788,189.530,39.0065,42.1662,-5.1780
750.337,185.273,187.573,-10.0000,-28.3936,-22.5282
761.794,180.583,194.825,23.7391,-53.9316,31.1225
771.915,161.243,188.332,14.0376,-49.7929,11.7761
779.346,179.324,194.536,5.7331,-33.3582,-17.2567
785.242,180.641,187.642,11.0146,-50.4912,14.0392
797.294,183.410,192.411,-8.1823,53.8306,30.2896
806.942,191.240,189.467,3.4283,54.2498,55.8191
814.554,211.029,195.048,17.9588,54.3645,54.4656
827.706,232.290,187.595,15.0174,54.4153,53.7979
837.499,276.076,191.451,-10.0000,50.1980,76.9364
851.750,317.659,189.645,6.8407,49.9226,77.8189
858.882,372.844,189.932,14.6688,52.9332,65.5953
867.921,416.692,193.799,30.4953,54.5842,51.0577
880.746,501.165,190.465,1.3898,46.9822,85.7288
881.679,517.740,203.531,11.1653,48.6191,81.6216
878.369,493.846,205.276,23.6437,53.3515,63.1142
863.027,409.687,205.019,28.5869,53.9296,58.8949
856.609,358.100,200.987,8.5608,49.6605,78.6303
841.564,322.169,200.972,43.9360,54.5687,51.3610
831.637,274.885,204.586,61.7649,51.3213,17.0414
822.324,236.253,198.709,6.2376,49.0369,80.4628
814.722,212.845,200.620,10.8786,54.6691,49.0180
807.451,194.861,200.621,-10.0000,54.5628,51.4721
791.231,180.110,199.876,24.9508,49.6218,11.2520
790.271,165.116,204.743,17.8785,50.8539,15.3040
779.554,180.811,200.153,-10.0000,-24.3241,-26.3595
768.206,186.088,198.905,-10.0000,-9.1098,-38.4896
756.861,191.497,197.190,-10.0000,-18.4953,-31.3181
745.108,187.007,199.557,21.9998,42.5764,-4.4825
739.113,189.872,198.872,-10.0000,-28.1476,-22.7706
723.505,173.871,204.689,-10.0000,-34.5552,-15.8574
714.454,174.827,204.780,-9.5659,-39.6050,-9.1919
708.579,174.836,205.019,-9.0749,-41.7192,-5.9178
697.978,189.758,206.691,28.4231,-54.3179,34.9617
684.960,174.517,199.929,-10.0000,-36.1619,-13.8820
679.274,176.133,205.763,-5.2602,-41.9996,-5.4558
668.365,175.398,206.524,-6.6058,-45.6744,1.3818
654.980,171.457,199.251,18.4104,45.8543,1.7619
644.623,184.930,198.205,-10.0000,-33.9186,-16.6088
638.572,181.515,205.730,5.2248,51.0979,16.1947
626.671,180.724,200.311,-8.0552,-47.5688,5.6722
620.816,181.008,200.461,-10.0000,-39.4403,-9.4329
608.730,176.659,202.372,22.0309,-54.2425,34.1014
597.050,177.620,202.540,11.5554,-51.2079,16.6077
584.943,172.989,204.545,24.6518,-54.3349,35.1673
573.273,174.074,204.673,15.8061,-52.0091,19.8705
561.273,171.464,202.721,21.9169,-52.1923,20.6918
555.474,171.864,206.124,16.8888,-49.6495,11.3361
548.516,157.963,198.598,10.9534,-51.0693,16.0883
537.713,173.035,200.295,25.3053,-52.7760,23.5549
525.889,170.368,201.664,14.9128,-51.8290,19.0937
514.047,169.350,202.465,-0.9740,-44.4735,-1.0342
502.321,169.555,202.898,13.2446,-52.0509,20.0551
496.241,166.909,204.009,26.5794,-54.1456,33.0890
484.583,168.046,204.048,43.6754,-54.1096,32.7348
478.570,168.214,204.252,33.8117,-51.9527,19.6242
464.758,184.179,199.690,-10.0000,36.2164,-76.1871
457.496,221.959,200.035,-6.4561,36.3479,-76.3545
447.546,267.432,204.250,-10.0000,30.6336,-69.7552
440.250,303.330,198.948,-10.0000,32.5697,-71.8519
428.121,335.926,201.180,-3.6199,14.6138,-55.6244
420.434,352.357,202.319,-5.2963,27.7443,-66.8352
406.831,152.216,206.299,8.2251,-45.6745,1.3820
398.518,153.038,206.302,9.1125,-46.3612,2.8617
388.535,154.167,202.173,14.7974,-49.1749,9.9315
371.653,153.779,201.078,13.3803,-49.8014,11.8027
365.422,153.746,200.999,13.4823,-49.2427,10.1273
354.044,154.053,201.714,14.7517,-49.8345,11.9053
342.343,154.707,201.985,9.1212,-44.4895,-1.0033
332.718,155.778,204.227,4.2169,-40.7646,-7.4398
324.983,157.644,198.557,4.2782,-40.5592,-7.7575
318.855,158.433,199.942,1.5089,-39.6012,-9.1974
307.589,161.328,201.261,2.5735,-34.0389,-16.4681
296.134,165.197,200.475,5.4796,-34.4272,-16.0099
290.527,167.249,200.759,5.3730,-34.5107,-15.9105
271.240,171.916,205.542,27.5550,-47.7916,6.2240
261.592,179.200,197.323,17.2925,-25.2454,-25.5233
254.359,182.535,202.056,23.3306,-14.9514,-34.1158
241.736,572.582,199.722,45.6909,52.2210,20.8231
232.809,397.229,200.328,27.2883,51.7433,71.2668
229.447,404.362,211.771,27.5575,52.3036,68.7932
238.890,544.672,208.205,25.6399,46.4419,86.9591
251.040,179.032,211.857,28.9889,-23.4647,-27.1250
261.496,171.796,212.084,35.8192,-47.5651,5.6634
273.311,168.429,213.620,31.7008,-50.3557,13.5835
284.656,166.135,214.956,30.8321,-51.0228,15.9169
295.370,164.096,213.023,15.6716,-43.1827,-3.4237
301.985,162.567,213.421,10.4219,-39.9314,-8.7086
309.830,160.879,208.100,0.0964,-36.0392,-14.0371
324.493,157.548,207.608,1.5091,-38.6785,-10.5238
337.190,154.202,216.166,3.8395,-41.2223,-6.7196
342.050,153.959,208.139,5.5842,-44.0778,-1.7877
355.582,153.147,214.113,-2.7136,-44.6138,-0.7622
365.825,153.259,207.653,-0.0468,-46.4066,2.9625
371.729,153.631,207.288,2.1030,-46.5855,3.3626
383.583,153.790,212.915,2.3152,-45.2506,0.5057
389.421,153.276,212.842,5.4287,-44.6630,-0.6661
401.090,152.435,212.598,5.4605,-45.8455,1.7432
413.517,377.597,211.634,-2.5703,31.1800,-70.3344
422.011,352.177,211.561,-10.0000,23.7405,-63.1192
437.816,314.499,213.554,-2.0783,26.0832,-65.2521
445.414,282.679,211.440,-10.0000,25.5839,-64.7883
455.037,244.410,211.334,-7.7160,43.1465,-86.5120
462.853,212.172,209.163,-10.0000,24.3847,-63.6950
470.277,181.793,212.571,-10.0000,25.7727,-64.9630
478.551,164.959,211.538,-4.5149,-30.4866,-20.3991
490.178,163.835,211.456,10.5069,-48.5836,8.2824
501.471,151.192,209.013,26.2088,-52.9692,24.6051
513.999,167.435,209.273,5.7290,-45.9917,2.0558
520.051,168.566,214.822,-2.0448,-48.7408,8.7109
531.923,170.124,213.827,12.3513,-47.6601,5.8969
543.697,170.920,213.105,-2.4075,-46.3994,2.9466
549.579,170.466,212.988,-5.9488,-45.6640,1.3598
567.208,170.470,212.261,3.2100,50.4604,13.9348
571.969,157.048,210.263,19.6735,-52.0519,20.0596
578.905,169.736,212.018,-4.4948,-47.6231,5.8058
597.097,175.782,215.486,5.3860,49.6108,11.2187
601.728,160.360,214.161,-5.0223,-48.4168,7.8355
608.976,178.614,207.893,11.2296,51.8460,19.1655
624.063,183.310,208.827,-10.0000,-33.6124,-16.9644
637.767,170.044,214.327,14.6771,45.8181,1.6851
638.356,184.951,216.346,13.5614,52.3715,21.5278
655.706,173.757,213.705,-6.8581,-47.0339,4.3919
667.585,175.531,212.647,3.3725,-47.6502,5.8725
668.646,188.241,214.637,6.9527,-51.9365,19.5540
680.537,191.198,207.019,-10.0000,-36.1275,-13.9256
689.910,191.983,212.508,23.8305,-52.8945,24.1917
698.185,189.771,215.664,13.9421,-50.6114,14.4511
709.923,190.405,212.254,39.6296,-54.6561,40.6057
727.380,187.336,215.180,76.0855,-54.1886,56.4742
733.311,188.548,211.874,25.2837,-47.3282,5.0889
739.152,188.072,211.788,8.1723,-49.7810,11.7394
756.998,190.429,212.804,60.4322,-54.4084,53.8912
760.089,164.954,212.356,-7.3907,-27.9998,-22.9156
774.096,183.468,214.494,22.5003,-44.2410,-1.4793
780.006,184.736,211.183,1.7856,-40.4352,-7.9477
791.704,183.775,211.041,25.4488,49.2404,10.1208
803.164,193.148,207.513,49.8673,48.1793,7.2116
809.150,209.498,208.123,40.7915,53.8473,30.4237
820.104,244.124,208.725,50.5090,54.5760,51.2193
829.327,285.729,213.364,17.6111,54.7252,46.5920
848.080,314.110,215.644,16.2586,52.3423,68.6109
854.366,349.691,210.287,14.3486,52.4920,67.8901
861.389,417.133,212.423,39.4562,54.7355,44.8386
878.094,508.700,212.788,30.3390,54.1580,56.7870
879.804,532.736,211.068,12.9441,49.2902,79.7343
879.169,534.251,222.932,8.8701,51.3037,73.0265
871.924,486.863,220.143,32.4616,54.5355,51.9625
859.701,419.101,218.018,33.1273,54.6761,48.8005
851.337,339.643,219.073,20.6976,53.7723,60.1686
837.437,342.948,225.292,27.3779,54.4631,36.8806
834.633,261.282,221.044,34.3444,54.6797,41.3156
816.599,231.180,219.244,19.9813,52.6195,67.2545
808.746,207.652,221.053,81.1743,44.8597,-0.2792
801.875,195.217,219.213,19.7033,54.5913,39.0841
785.387,187.003,221.753,20.0369,52.9873,24.7068
784.599,166.929,222.973,24.9568,49.5202,10.9456
768.139,181.762,218.812,29.4859,-46.6878,3.5940
762.549,183.835,224.484,36.3820,-51.1088,16.2353
750.853,185.102,224.603,68.2790,-53.9617,58.6191
737.862,171.232,217.316,17.4955,-45.2741,0.5535
727.273,185.281,219.351,34.6648,-52.4917,22.1083
721.603,187.433,225.064,20.0971,-44.3661,-1.2407
708.345,174.014,217.638,24.2693,-51.4810,17.6665
698.079,187.744,219.752,15.7974,-51.5426,17.9128
690.269,188.404,219.786,11.8328,-47.4448,5.3702
680.492,187.666,223.885,48.9642,-54.0214,58.0910
674.014,175.097,219.080,12.8940,-49.2432,10.1288
661.736,174.742,219.311,7.5269,-49.4503,10.7369
649.875,173.339,220.256,0.5513,-48.7175,8.6469
